나라,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
카메룬,0.27114,0.28213,0.28946,0.30045,0.33709,0.31144,0.34442,0.458,0.50563,0.57158,0.63742,0.80918,0.86036,0.89691,0.97376,1.1605,1.089,1.559,1.9932,1.8153,3.8859,5.3191,6.3159,6.5545,6.0529,6.4706,1.9932,1.843,2.154,7.5777,2.6048,2.6684,2.7123,2.8658,4.8798,5.3747,5.9747,5.3788,5.3732,5.2194,5.5886,5.5624,5.3506,5.7046,5.6985,5.4239,5.4859,7.4094,7.3206,8.555,8.3833,8.105,7.6034,7.8495,8.7715,9.8507,9.958,9.5781,9.6455,9.5918,9.7016,10.2977,9.5727
캐나다,192.7162,194.0007,206.9908,210.9108,237.5777,251.917,259.0744,281.637,303.2613,307.1192,341.1772,352.2874,380.7917,381.2732,389.6169,396.7868,398.9623,407.7904,415.5287,441.6768,442.8469,429.6297,414.4549,408.3385,425.2333,421.7187,404.7079,430.9821,455.6691,462.8851,458.5031,450.1596,464.0128,464.5542,479.033,491.8257,508.1967,522.5773,530.2763,544.4821,567.0961,559.147,564.3738,581.4272,579.6894,574.7636,568.5845,593.7553,576.8087,544.1397,556.0621,565.254,565.7817,569.5397,566.353,570.6803,557.6897,566.6519,577.0663,578.5877,522.8453,537.1737,547.9439
베르데 곶,0.021954,0.021954,0.01829,0.014626,0.029253,0.025589,0.021984,0.01832,0.029282,0.036581,0.036581,0.03661,0.051266,0.062229,0.065952,0.076944,0.07328,0.080608,0.20854,0.24915,0.12091,0.032976,0.03664,0.03664,0.084272,0.084272,0.058624,0.080608,0.07328,0.080608,0.17954,0.16488,0.17954,0.17221,0.17587,0.19786,0.21618,0.22717,0.24182,0.28946,0.29678,0.34808,0.38106,0.41403,0.42502,0.44701,0.49464,0.50563,0.46899,0.52029,0.55693,0.61555,0.50197,0.49464,0.48731,0.49098,0.49464,0.5093,0.53861,0.56059,0.51662,0.55886,0.56878
케이맨 제도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중앙아프리카 공화국,0.087936,0.087936,0.07328,0.07328,0.07328,0.087936,0.084272,0.0916,0.1832,0.18686,0.20885,0.1832,0.16854,0.16122,0.11358,0.10259,0.12824,0.12824,0.14656,0.10259,0.10626,0.13557,0.1429,0.14656,0.15022,0.16122,0.16122,0.26014,0.23083,0.24915,0.1832,0.19053,0.19419,0.19786,0.20885,0.20885,0.21251,0.21618,0.21984,0.23083,0.2345,0.24549,0.24182,0.2235,0.21984,0.21618,0.22717,0.23083,0.16488,0.16122,0.16854,0.18686,0.19053,0.11725,0.12458,0.17954,0.19786,0.21618,0.21984,0.22717,0.23816,0.24923,0.22623
차드,0.05496,0.051296,0.084272,0.0916,0.098928,0.10626,0.084272,0.11725,0.12458,0.16122,0.12458,0.15022,0.12091,0.16122,0.15022,0.1832,0.1832,0.19786,0.19419,0.20152,0.20885,0.20885,0.20518,0.20518,0.21618,0.17954,0.18686,0.19786,0.065952,0.10259,0.37739,0.38472,0.4067,0.40304,0.4121,0.42741,0.44322,0.4531,0.46384,0.47725,0.48751,0.50559,0.52755,0.88241,0.90253,0.9257,0.96095,1.089,0.87246,1.216,1.236,1.2729,1.7429,2.0785,2.1828,2.3517,2.3744,2.3442,2.3835,2.3031,2.2792,2.4666,2.3692
칠리,13.4765,14.4547,16.7074,17.337,17.5051,17.7473,18.7725,19.2383,21.2022,22.5315,24.6358,27.0558,28.139,27.5885,25.878,22.9467,24.0289,23.0169,22.842,24.7297,25.0999,24.3471,20.4753,20.6741,22.0047,21.2922,22.0225,22.4102,26.6,32.0178,32.9081,30.8918,32.0006,34.0978,37.9749,41.5625,48.2263,55.942,57.2585,61.408,58.5026,52.9184,54.8356,55.1002,59.2284,61.1275,64.0519,70.4764,70.5525,65.9598,71.3475,78.0715,79.6208,81.7368,77.5899,81.7822,84.2505,84.1383,84.4389,91.9771,80.1782,89.0367,84.3777
중국,798.7999,570.6302,459.6181,456.7794,460.6371,500.2864,549.4593,460.2259,495.5066,607.6834,807.9526,909.2097,968.6456,1008.2926,1028.0999,1183.215,1226.4213,1340.8311,1492.7778,1525.6611,1494.4959,1476.4879,1606.585,1694.2168,1844.828,1998.0829,2104.2134,2257.7385,2425.8936,2463.6544,2484.8548,2606.0962,2730.7876,2921.651,3103.7387,3361.6372,3508.8181,3515.5942,3364.5876,3557.2746,3649.2009,3728.5135,4103.0427,4841.1187,5217.3509,5882.1429,6494.3381,6983.5767,7501.4978,7891.0893,8620.6268,9532.4091,9779.3544,9956.3762,9998.674,9866.9514,9765.0295,10011.1517,10353.9345,10721.042,10914.0122,11336.2339,11396.7774
콜롬비아,16.3905,18.1963,19.4195,21.2328,21.6829,22.8587,23.4742,24.6868,26.5728,28.0163,28.3701,30.2814,31.4252,33.6308,36.3944,35.809,37.9797,39.241,41.5342,44.2669,44.1742,44.2603,45.6793,49.2096,48.7015,48.0795,48.7543,50.124,52.0174,52.7928,56.8977,56.6541,61.4947,63.3378,67.0374,59.4207,59.9127,65.2562,65.7988,55.4758,56.5914,56.8482,55.9012,57.3781,54.6468,60.1616,62.3044,60.4915,66.964,72.4606,76.2665,76.2242,80.2553,88.1047,98.2841,96.7742,99.6857,92.275,87.112,94.4979,89.7313,95.7652,99.7179
코모로,0.010992,0.010992,0.010992,0.010992,0.010992,0.014656,0.01832,0.01832,0.01832,0.01832,0.029312,0.029312,0.029312,0.029312,0.029312,0.032976,0.040304,0.040304,0.029312,0.021984,0.047632,0.047632,0.047632,0.047632,0.047632,0.047632,0.043968,0.047632,0.051296,0.051296,0.065952,0.065952,0.069616,0.07328,0.07328,0.076944,0.080608,0.084272,0.0916,0.095264,0.10259,0.10626,0.10626,0.13557,0.14656,0.1429,0.16488,0.10626,0.10992,0.13557,0.16122,0.1429,0.15389,0.1832,0.16122,0.17954,0.21618,0.26747,0.29312,0.31144,0.38106,0.41513,0.41276
콩고,0.2235,0.26747,0.23816,0.2345,0.26747,0.24549,0.30778,0.32243,0.45067,0.50197,0.57158,0.68517,0.66318,1.2201,1.6232,1.0992,1.2348,0.47998,0.32243,0.34808,0.40553,0.47072,1.3431,1.1425,1.1395,1.2752,1.0624,1.3201,1.4929,1.4956,1.0079,1.0828,1.2892,1.1604,3.3839,3.2247,4.0374,4.8306,3.8693,3.9156,4.2843,4.1778,2.7203,3.2581,3.5486,4.3521,4.7859,4.2593,4.2703,4.9437,5.4999,5.0464,5.0195,5.8923,5.4696,5.6333,5.7293,5.6514,6.5449,7.2902,7.3915,7.2559,7.4319
쿡 제도,,,,,,,,,0,0.010992,0.010992,0.010992,0.010992,0.010992,0.010992,0.014656,0.014656,0.029312,0.029312,0.025648,0.029312,0.065952,0.051296,0.051296,0.021984,0.021984,0.021984,0.021984,0.021984,0.021984,0.043968,0.043968,0.043968,0.047632,0.047632,0.047632,0.051296,0.051296,0.047632,0.051296,0.051296,0.047632,0.040304,0.047632,0.05496,0.062288,0.065952,0.065952,0.065952,0.065952,0.07328,0.080608,0.084272,0.084272,0.080608,0.080608,0.07328,0.080608,0.080608,0.084272,0.065952,0.068819,0.068043
코스타리카,0.49098,0.49098,0.5496,0.6009,0.67406,0.84591,0.99247,0.87525,1.0364,1.1462,1.2487,1.527,1.7613,2.0434,1.9041,2.0358,2.0819,2.6074,2.912,2.781,2.4485,2.2362,2.0706,2.0888,1.9809,2.2425,2.5775,2.7239,2.9059,2.9333,2.913,3.2879,3.7419,3.8909,5.1998,4.8008,4.6864,4.9162,5.2341,5.4378,5.3939,5.6666,6.2454,6.5825,6.8417,6.7234,7.0067,7.9607,7.9899,7.7478,7.4926,7.3108,7.2601,7.6315,7.7483,7.406,7.8559,8.029,8.0124,7.6984,6.7632,7.6554,7.8887
Côte d'Ivoire,5.8052,6.0876,6.2465,6.9495,7.8789,8.1134,8.0419,8.1302,8.6967,9.0189,11.7962,12.7061,11.892,14.2246,14.2799,14.8929,15.3671,14.9363,16.6981,18.167,17.8569,19.4062,17.8233,19.1939,20.2441,20.6529,21.5754,21.0598,21.7383,21.6703,22.9747,16.9852,16.3692,16.8065,16.0498,16.8157,17.3437,18.5565,19.0112,20.0224,19.66,20.7823,21.8873,23.2131,22.8849,23.34,23.5468,24.8597,23.5944,21.8053,21.0182,20.6502,19.0812,18.4322,17.6816,17.8247,18.109,18.744,17.7242,17.8574,16.8705,17.4106,17.5261
크로아티아,13.6871,12.1683,14.1545,13.0259,14.279,14.5941,15.1694,15.7369,16.0195,17.2433,18.6541,19.5887,20.7774,22.3753,22.8881,27.0395,27.1971,29.3742,30.6612,31.6845,31.374,32.7235,34.5273,30.8206,32.5807,32.556,33.5468,33.9333,35.6164,35.7191,29.6484,27.1702,20.5931,19.8228,21.3823,22.8351,23.333,24.809,24.294,24.4671,25.7755,25.2159,25.5236,25.9427,25.2212,26.2118,26.8182,26.2042,28.1083,28.3963,34.1998,29.4311,29.8386,28.1249,27.6083,29.4686,28.1715,24.9476,23.1331,22.6188,21.2771,20.9404,20.921
쿠바,9.3095,9.7157,10.6698,10.2204,9.9373,8.9156,8.337,10.2697,9.5495,12.4978,13.9781,12.1654,11.7961,13.0856,11.8608,8.5894,18.3482,9.5834,8.1616,8.5617,8.8109,8.3924,9.3834,4.8225,12.0423,14.095,2.7021,2.4022,2.3663,4.5045,4.8239,3.8494,3.1714,4.8957,4.6936,4.6447,4.3448,4.5469,0.25098,1.8807,4.9902,5.0814,4.8989,4.9022,5.1434,5.0977,5.3129,5.981,5.7529,5.8865,4.0547,5.1727,6.2874,5.9284,6.7967,7.328,6.1922,4.9647,4.3125,2.2424,1.8064,1.7406,1.7567
퀴라소,0.88633,0.86432,0.90462,0.98523,0.99997,1.1501,1.2417,1.3623,1.6222,1.6698,1.7027,1.8835,2.4059,2.5035,1.9288,1.9908,2.4877,2.6994,2.845,3.0454,3.2606,3.0957,3.1572,3.1513,3.2346,3.145,3.6061,4.185,4.1976,4.4297,4.6449,5.1332,5.5057,5.7493,5.9915,5.8619,6.2119,6.2983,6.5925,6.8587,7.1046,6.9785,7.1694,7.5596,7.7887,7.9573,8.185,8.5035,8.7157,8.4702,8.1011,7.7876,7.2628,6.5826,6.9508,6.9716,7.3737,7.5038,7.3217,7.3423,6.9109,7.0294,7.0294
키프로스,99.0526,107.5048,114.5641,120.4923,125.4019,122.1996,121.5224,121.2785,126.88,134.6936,154.4197,161.9774,163.451,164.1082,165.9996,173.6683,180.4108,185.7924,187.4644,182.5574,184.6774,182.6485,180.8461,181.0762,187.168,184.5998,185.8545,183.6414,180.617,172.3307,164.2504,148.8833,145.7058,140.124,132.668,131.6222,135.0187,130.9416,125.6088,116.6719,127.236,127.1444,123.97,127.5717,128.2916,125.6907,126.5551,128.3821,122.951,114.999,117.4907,115.202,111.2984,106.7327,104.2562,105.0223,106.6809,107.7766,106.3584,101.0327,91.6974,96.6652,97.9693
체코,0.46166,0.55326,0.58624,0.62288,0.76211,1.1725,1.2384,1.3593,1.5975,1.8906,2.2424,2.4549,2.7114,2.8762,3.2426,3.9864,3.9608,4.0524,4.8145,5.4191,5.5693,3.8655,5.5546,4.5177,5.1333,6.9836,5.5766,7.35,8.8046,8.266,4.7815,4.3089,3.8435,5.093,4.133,6.2253,7.526,7.2112,6.7555,6.0919,6.6336,7.6497,7.4502,5.3005,7.3863,7.5644,6.8872,6.6533,6.7126,5.6599,6.2247,6.5232,8.54,9.6798,9.9032,9.5547,11.9827,12.0019,10.3524,10.5351,11.0186,11.7294,11.7342
콩고 민주 공화국,2.3185,2.3554,2.1719,2.2927,1.974,2.4685,2.4025,2.2888,3.366,3.648,2.7097,2.9587,3.0172,3.1892,3.3647,3.2328,3.4049,3.477,3.526,3.7401,3.485,3.7554,3.047,3.998,3.9316,3.6119,3.3457,3.8159,3.978,4.352,4.249,3.2804,2.9068,2.6623,2.751,3.0962,3.4726,3.0894,2.7333,2.1994,1.7047,1.6475,1.7343,2.0962,2.0282,2.2884,2.3525,2.6242,2.6866,2.447,2.7369,3.0423,2.7987,3.9216,5.067,3.2766,2.5594,3.1025,3.3751,3.5922,3.7097,3.9407,3.6016
덴마크,29.7495,31.7019,36.8899,40.6679,43.1469,44.2934,50.0784,49.0264,53.2727,59.3426,62.0393,57.0007,59.5754,59.1939,55.0095,55.7087,60.057,61.7654,61.0283,62.9078,60.2862,51.7159,53.6155,50.0982,50.7807,59.9805,58.8018,58.2423,55.014,48.6851,53.477,64.1046,58.3266,60.5737,64.6733,61.6534,74.8997,65.4378,61.2383,58.6528,54.3066,55.8967,55.5544,60.6454,55.1,51.5349,59.5002,54.7094,51.2563,48.8514,49.1897,44.2369,39.8613,41.763,37.5714,35.1106,36.9166,34.6646,34.609,30.9503,28.2997,29.6083,29.0593
지부티,0.040304,0.043968,0.047632,0.065952,0.084272,0.12091,0.13923,0.087936,0.12091,0.084272,0.13923,0.16122,0.19053,0.17954,0.19419,0.19786,0.19786,0.19786,0.20152,0.36274,0.34808,0.30045,0.34808,0.34808,0.35174,0.35907,0.37739,0.38838,0.34808,0.38838,0.29678,0.30045,0.30411,0.30411,0.30045,0.31144,0.30778,0.33342,0.38472,0.38472,0.3664,0.3664,0.39938,0.42136,0.4067,0.41403,0.41403,0.46166,0.4983,0.44334,0.51662,0.47266,0.48731,0.55669,0.38831,0.43164,0.38013,0.39176,0.43488,0.44862,0.38245,0.45484,0.45304
도미니카,0.010992,0.010992,0.010992,0.014656,0.014656,0.014656,0.014656,0.021984,0.021984,0.01832,0.025648,0.025648,0.025648,0.025648,0.029312,0.029312,0.029312,0.025648,0.025648,0.032976,0.03664,0.03664,0.040304,0.040304,0.043968,0.047632,0.047632,0.047632,0.05496,0.058624,0.058624,0.058624,0.058624,0.062288,0.069616,0.080608,0.07328,0.080608,0.076944,0.080608,0.10259,0.10992,0.10259,0.11725,0.1429,0.15022,0.1429,0.17221,0.16854,0.18686,0.17221,0.15389,0.16488,0.15755,0.16488,0.17587,0.17221,0.15389,0.16122,0.17221,0.15755,0.15182,0.15322
도미니카 공화국,1.0399,1.0286,1.2411,1.2485,1.7465,1.5453,1.6697,1.5669,2.3473,2.6512,3.1051,3.5187,4.6689,5.959,6.4096,6.3327,6.3224,5.5989,5.4303,6.7856,6.427,6.1352,6.3035,7.8656,7.3905,7.2415,8.1211,9.6873,9.7398,10.2579,8.936,9.5383,10.4182,11.2088,11.7964,15.107,16.4844,17.2657,17.7882,17.8213,18.9916,19.1446,20.9491,21.345,17.3332,17.9405,19.1119,19.9929,20.3318,19.7807,20.5535,21.3179,21.2548,21.267,21.8006,23.4946,24.6446,24.0169,25.7562,28.3747,23.5016,23.7848,23.6379
에콰도르,1.7616,1.6442,1.5637,1.7943,2.1423,2.274,2.4167,2.5889,3.1126,3.5889,4.2782,4.2194,4.589,5.2559,6.0836,7.3549,8.1006,7.4722,10.4064,12.1405,13.4072,16.6528,19.2351,19.5026,21.1895,19.3527,15.1941,15.0223,17.1686,20.1537,16.4578,16.1572,21.9597,24.0885,14.3068,23.4984,25.2999,19.4289,23.0905,21.9762,20.9273,23.4078,24.8271,27.0716,29.2581,30.5896,29.6898,34.2792,30.3144,33.5986,36.2764,38.2639,37.4088,39.655,43.7314,41.2757,39.3571,39.1742,38.4291,40.0652,32.9094,39.7317,41.6134
이집트,16.0327,17.0659,18.5711,21.5269,25.4912,27.6095,26.5322,19.6499,22.8726,19.6648,21.654,23.0124,25.475,23.7611,26.0891,31.0599,34.4504,37.8151,39.261,42.8895,45.176,50.9027,56.4312,56.9805,63.7043,63.8072,74.3929,74.6135,74.3095,71.9046,75.2175,77.2958,79.9399,92.278,88.3727,98.9945,97.9509,111.7049,125.0257,128.2211,143.836,127.6565,129.155,149.9194,152.5757,168.2168,179.1941,188.805,197.7277,206.4779,203.6076,216.9173,213.7335,211.4189,226.8993,224.4797,239.3856,260.1106,243.9079,256.1402,227.638,246.8844,258.9517
엘살바도르,0.61886,0.58228,0.64826,1.1245,1.2307,1.0402,1.3038,1.1573,1.2598,1.1902,1.4283,1.5088,1.6772,1.9666,1.97,2.1055,2.2067,2.2817,2.3814,2.3767,2.1194,1.8187,1.7521,1.8854,1.5883,1.9653,1.9675,2.4145,2.4331,2.5472,2.4751,3.1547,3.3168,3.9756,4.5127,4.9984,4.4145,5.4157,5.7312,5.5879,5.671,5.8574,6.0699,6.4349,6.2538,6.2977,6.7178,6.8456,6.4047,6.3125,6.3186,6.4994,6.4719,6.0945,6.1512,6.6678,6.5958,5.9697,6.2626,7.5496,6.5945,7.4876,7.7144
적도 기니,0.021984,0.021984,0.021984,0.025648,0.025648,0.029312,0.025648,0.025648,0.029312,0.043968,0.03664,0.065952,0.087936,0.029312,0.051296,0.062288,0.062288,0.062288,0.069616,0.062288,0.058624,0.069616,0.07328,0.062288,0.080608,0.065952,0.080608,0.098928,0.10626,0.11725,0.062288,0.065952,0.065952,0.069616,1.1529,1.2271,1.3555,1.9748,2.3023,2.5113,2.6993,3.0947,2.7615,3.1334,6.1374,6.208,6.1816,5.724,5.9417,4.9015,6.4022,6.0945,6.9007,8.1962,7.6722,7.0335,7.5583,7.8621,6.0084,4.638,5.5248,5.6291,5.0762
에리트레아,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74383,0.82279,0.89848,0.80847,0.58617,0.61545,0.60443,0.62635,0.60063,0.71047,0.76902,0.76895,0.54895,0.56336,0.40936,0.49731,0.49734,0.57782,0.60823,0.56951,0.56911,0.55435,0.55748,0.55706,0.62301,0.64809,0.64091,0.70043,0.69683
에스토니아,14.6668,15.1256,15.8743,17.0213,18.0994,19.1997,20.2758,21.1986,21.7907,22.6906,23.8706,25.3345,26.6622,27.7951,28.8607,30.3451,31.5121,32.5831,33.6973,33.9738,35.3139,34.6391,35.2932,35.7983,36.1186,38.9594,38.7279,38.5281,38.564,39.3665,36.9196,34.1472,24.421,19.4387,20.0451,18.0613,19.0431,18.6829,16.9407,15.938,15.4817,15.8821,15.3704,17.2636,17.3275,17.0968,16.4449,19.9421,17.8224,14.4171,18.9754,18.9564,17.7718,19.6604,18.8283,15.824,17.4892,18.7384,17.8848,12.324,9.2389,10.4199,10.3118
에티오피아,0.35163,0.34063,0.39553,0.42121,0.40653,0.64448,0.82398,1.073,1.725,1.6664,1.6517,1.8495,1.4062,1.7509,1.7363,1.2085,1.1747,1.0468,1.3685,1.8441,1.8175,1.86,1.4739,1.8348,1.6503,1.7987,2.1952,2.5544,2.6401,2.7941,2.9865,2.9585,2.9367,2.9936,2.1972,2.506,2.7942,2.9802,3.1474,3.0943,3.4629,4.2646,4.4317,4.8702,5.1586,4.9561,5.3182,5.8396,6.4176,6.4534,6.3369,7.4025,8.1087,9.781,12.0165,12.6964,14.4249,15.5837,15.989,16.675,17.8101,18.9195,19.0733
패로 제도,0.058624,0.11358,0.11725,0.12458,0.12091,0.13557,0.13923,0.16854,0.1832,0.21251,0.25648,0.26014,0.2345,0.25282,0.30045,0.34808,0.32976,0.4067,0.39938,0.47998,0.42136,0.43968,0.458,0.48731,0.4983,0.51662,0.49098,0.4983,0.52762,0.57891,0.70349,0.65586,0.64853,0.58258,0.57525,0.57158,0.6009,0.5899,0.62288,0.63021,0.68883,0.76211,0.72547,0.7328,0.74746,0.72181,0.67784,0.68883,0.63021,0.57525,0.63021,0.56792,0.5899,0.64853,0.59723,0.60822,0.63021,0.70715,0.72547,0.74013,0.75845,0.73677,0.74813
포클랜드 제도 (말비나스),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
피지,0.19419,0.16854,0.23083,0.24182,0.42491,0.34427,0.32225,0.35523,0.3955,0.43215,0.52005,0.54927,0.57856,0.62985,0.67019,0.62258,0.483,0.76463,0.70908,0.83646,0.79242,1.0772,0.83512,0.70893,0.57721,0.57299,0.59809,0.472,0.54977,0.6252,0.80122,0.65503,0.73031,0.72865,0.72308,0.7367,0.79245,0.76428,0.7433,0.75647,0.81485,1.0421,0.87974,1.037,1.3409,1.0823,1.2027,1.1404,0.84604,0.74181,1.0918,0.99862,0.96891,1.1061,1.2516,1.3199,1.2597,1.3619,1.4101,1.408,1.041,1.0857,1.0739
핀란드,15.0869,14.9217,16.7903,19.3365,22.8277,25.3001,29.4888,28.5877,33.2815,37.8968,40.355,40.5368,44.1061,49.3202,46.6084,46.0257,51.1985,50.137,51.825,54.237,58.1393,51.4033,42.9765,41.4634,42.1471,49.5491,53.2144,57.5334,52.0581,52.4479,56.915,55.188,54.265,56.314,61.732,58.116,64.033,62.696,59.352,58.866,57.01,62.514,65.041,72.654,68.939,57.047,68.371,66.76,58.621,55.906,64.081,56.638,51.146,51.715,47.619,44.186,47.248,44.654,45.73,42.454,37.735,37.947,36.163
프랑스,296.1141,315.6817,332.8868,338.0076,368.8558,363.4678,380.3661,404.6443,418.2263,443.3739,460.4246,493.3949,513.9636,538.6547,520.6593,482.165,523.4474,506.9483,528.7554,532.113,511.0467,459.3023,440.3641,423.2477,411.9612,405.1378,390.285,387.7051,385.5449,399.6196,393.4307,417.775,407.7173,388.398,381.5763,386.4568,402.8932,395.5119,413.9645,412.3696,406.5075,411.0165,406.431,412.4567,413.6634,416.1511,406.3098,396.1982,389.4273,370.9657,376.5639,354.0891,356.4445,358.4874,327.0095,331.4144,334.0051,336.8959,322.0785,315.4497,281.539,306.7758,297.5339
프랑스령 기아나,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
프랑스령 폴리네시아,0.03664,0.058624,0.047632,0.065952,0.065952,0.084272,0.12091,0.13923,0.15389,0.16122,0.19419,0.22717,0.21618,0.20885,0.21618,0.21251,0.26381,0.2748,0.31144,0.28213,0.29312,0.32976,0.33709,0.42136,0.46166,0.5899,0.60822,0.61189,0.57525,0.54227,0.46899,0.46899,0.44701,0.46899,0.47998,0.47266,0.46899,0.49098,0.48731,0.53861,0.61189,0.72547,0.72547,0.78043,0.76944,0.82806,0.82074,0.81341,0.83539,0.83906,0.92333,0.88669,0.8757,0.87936,0.85005,0.84638,0.86837,0.86104,0.8757,0.8757,0.84638,0.88317,0.87322
가봉,0.1319,0.16488,0.087936,0.07328,0.19053,0.21618,0.38106,1.0113,1.9602,1.4326,2.0812,2.8433,2.737,5.3091,5.4484,5.3641,5.7038,6.3065,7.5549,6.7468,6.6247,6.564,6.5436,5.5086,5.9795,6.2985,4.9508,4.0095,4.3207,5.7575,4.4847,4.5217,4.9169,4.9747,4.5417,5.2204,5.8856,5.5269,6.4529,6.014,6.1282,6.48,6.2503,6.7461,6.3863,6.2231,5.5425,5.0376,5.3789,5.3044,5.8361,5.8279,5.6298,5.9268,6.3694,6.4756,6.5217,5.8792,5.474,5.426,5.9288,5.8804,5.7056
감비아,0.01832,0.021984,0.025648,0.029312,0.029312,0.029312,0.032976,0.032976,0.03664,0.047632,0.047632,0.05496,0.065952,0.062288,0.062288,0.098928,0.098928,0.11358,0.13923,0.14656,0.15755,0.15755,0.16122,0.16122,0.17221,0.17221,0.16122,0.17954,0.1832,0.17954,0.19786,0.19786,0.19786,0.20885,0.20885,0.21618,0.21984,0.2235,0.24182,0.2748,0.2748,0.30045,0.29678,0.29678,0.31877,0.32243,0.34808,0.34808,0.36274,0.37373,0.42502,0.44334,0.44701,0.42502,0.50563,0.58258,0.5899,0.59357,0.64853,0.71082,0.69982,0.75703,0.77047
조지아,5.8738,6.0645,6.3737,6.8442,7.2868,7.7337,8.1702,8.5508,8.7992,9.1697,9.6396,10.241,10.7823,11.2467,11.6849,12.2906,12.7621,13.1951,13.6499,13.7609,14.2958,14.0346,14.2988,14.5039,14.6345,15.774,15.5751,15.7282,16.319,16.1962,15.9484,15.8722,15.2769,9.9157,6.0678,2.2903,4.0538,4.4263,4.9392,4.311,4.5004,3.725,3.3483,3.7315,4.2718,5.0139,6.093,6.3617,5.3088,6.1356,6.208,7.8045,8.2545,8.0125,8.9387,9.7562,10.0677,10.1725,10.0625,10.8866,10.5745,11.0561,11.0929
독일,813.9502,834.8396,883.1686,945.498,968.9175,960.1022,951.422,936.2294,984.7908,1052.0008,1026.0223,1037.2368,1041.481,1085.7384,1062.7269,1002.447,1090.8405,1052.6086,1079.1326,1117.8884,1100.066,1048.5234,1015.7339,1011.6049,1033.2446,1044.118,1047.4719,1032.4428,1029.0241,1008.7923,1054.7406,1016.8703,969.4742,959.3672,943.1848,939.8971,959.6533,931.4869,923.467,895.4021,898.938,915.2422,898.8345,899.8584,885.6325,865.4707,877.4977,850.2298,852.8579,788.2858,831.1296,807.6139,812.8155,833.8044,794.7385,798.0847,801.7445,785.9859,754.8111,707.4914,647.2523,678.7989,665.6047
가나,1.4619,1.3447,1.4326,1.7221,1.6488,1.7038,1.44,1.4949,1.7615,1.6875,2.6216,2.2784,2.3999,2.4393,2.8811,2.659,2.3332,2.8926,2.8668,2.5948,2.4835,2.9351,2.9527,3.5596,2.4996,3.1882,2.9567,3.1675,3.2333,3.0734,3.5138,3.9019,3.2426,3.8179,4.5397,4.624,4.8585,5.5143,5.5839,5.6132,5.3128,5.9687,6.4833,6.6846,6.4506,6.1131,8.5232,8.9819,8.3243,6.868,8.9425,10.3355,12.6443,12.6063,13.2525,14.5681,13.9173,12.4377,15.1934,16.4184,19.1682,20.9661,20.8069
지브롤터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
그리스,9.3915,9.8084,10.1488,12.2395,13.2016,16.999,18.6206,19.5042,22.2863,25.4343,24.1262,27.7495,31.4773,37.1312,36.0618,38.6698,42.6555,46.6572,47.6781,50.8187,50.8887,50.1254,51.5088,54.7894,56.2849,59.7719,58.2744,62.5763,67.0519,73.2308,83.438,83.4075,84.9757,84.285,86.4303,86.9632,89.115,93.8016,98.6218,97.9348,102.9732,105.3619,105.0005,109.0667,109.4853,113.889,112.4195,114.5457,111.0804,104.3198,97.3542,94.5052,91.3926,81.7133,78.6365,74.9276,71.361,74.8434,71.7809,65.7595,55.6198,57.5563,59.6628
그린란드,0.2235,0.29312,0.26381,0.32976,0.3151,0.34442,0.38838,0.4177,0.54227,0.4067,0.38106,0.46899,0.55326,0.55693,0.55693,0.50563,0.21984,0.72181,0.39205,0.57158,0.56426,0.52762,0.51662,0.36274,0.56792,0.5093,0.3261,0.2345,0.54594,0.47266,0.62471,0.6099,0.59581,0.54594,0.49591,0.53433,0.5969,0.61786,0.5972,0.59489,0.66777,0.61837,0.58014,0.6493,0.6395,0.6436,0.66285,0.65379,0.6774,0.5925,0.6794,0.72608,0.57976,0.56296,0.52261,0.52571,0.5266,0.54382,0.54465,0.55541,0.53715,0.56672,0.59172
그레나다,0.021984,0.01832,0.025648,0.014656,0.021984,0.021984,0.029312,0.03664,0.040304,0.047632,0.043968,0.047632,0.047632,0.05496,0.03664,0.047632,0.047632,0.047632,0.051296,0.047632,0.047632,0.058624,0.062288,0.062288,0.062288,0.062288,0.065952,0.07328,0.095264,0.10259,0.10626,0.10992,0.11725,0.12091,0.1429,0.15022,0.15389,0.16854,0.17587,0.19419,0.19053,0.19419,0.20518,0.21618,0.20518,0.21618,0.23083,0.23816,0.25282,0.25282,0.26014,0.25282,0.27114,0.30411,0.2345,0.26014,0.26747,0.27846,0.30778,0.32976,0.28946,0.32984,0.34042
