나라,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
호주,87.4443,87.0095,90.9086,95.9958,103.5448,113.6049,115.7362,122.2806,128.7681,136.4135,147.861,151.1161,153.5982,170.1438,166.1827,173.1015,169.8031,181.9147,191.0516,192.3219,204.3702,213.8099,218.0009,207.6454,217.5162,224.5559,224.0403,234.5998,240.737,256.8366,278.1603,279.534,284.5288,288.8735,293.7009,305.0556,311.9405,320.3328,334.1355,343.9592,350.0077,357.7834,362.5365,369.4417,382.8735,386.2054,392.4363,399.6763,404.2557,407.4772,405.5122,404.2568,406.5797,399.288,393.0494,401.3784,410.2536,413.6555,415.3507,415.8113,396.6852,386.6069,392.2793
오스트리아,30.7845,31.824,33.865,36.9491,38.8964,38.1406,39.2086,39.9156,42.2971,44.6384,50.6317,52.0691,56.0712,60.0155,57.2942,54.2137,58.2038,55.9937,57.2265,61.3213,52.0249,55.8329,53.5653,51.6682,54.214,54.3663,53.7285,57.3739,52.9372,53.6963,62.1672,65.7657,60.2662,60.6921,61.0666,64.0441,67.3886,67.2851,66.92,65.6713,66.1717,70.1713,71.9749,77.4019,77.6992,79.0974,76.8174,74.1178,73.4955,67.3153,72.0173,69.9093,67.2829,67.776,64.1759,66.3656,67.2266,69.6087,66.5719,67.9562,62.1213,66.0186,61.4884
아제르바이잔,18.9845,19.5993,20.5945,22.1081,23.5311,24.9707,26.377,27.5991,28.393,29.5831,31.1053,33.0298,34.768,36.2551,37.6561,39.5976,41.1259,42.5297,44.0021,44.3704,46.1098,45.2616,46.1187,46.7845,47.2094,50.8983,53.1184,49.6053,51.0123,50.6432,51.1512,49.7522,56.1744,48.4061,41.9449,33.3093,31.2423,29.8429,31.7849,28.8216,29.7653,28.4155,28.5703,30.4876,32.253,34.1936,34.5218,30.0368,33.0365,29.1026,27.5491,30.2098,32.7733,33.5552,34.3484,34.683,34.7273,34.607,34.5758,37.7379,36.1492,38.3336,38.0627
바하마,0.41037,0.54594,0.72547,0.70715,1.0845,1.3154,1.0919,1.701,1.6277,1.7408,2.5688,6.7237,6.4813,7.8627,7.3798,8.2461,6.4574,9.7087,6.597,6.9157,7.9721,2.7984,2.2585,2.0144,1.854,1.5096,1.4106,1.4216,1.5389,1.9456,2.0225,1.9969,1.8686,1.7441,1.7697,1.8393,1.8137,1.6085,1.9896,2.0335,2.0262,1.9456,2.0372,2.0702,2.0482,1.9053,1.854,1.8723,1.9163,2.1544,2.2277,2.1141,2.0518,2.0299,2.1361,2.246,2.2094,2.5098,2.4219,2.4549,2.1837,2.1007,2.12
바레인,0.57525,1.7697,1.5902,1.1945,1.5975,1.2274,0.64853,1.0039,1.1029,1.2714,2.5904,3.0375,3.6787,5.518,5.4007,5.7488,6.5696,7.4636,7.7604,8.1268,7.8813,8.5188,9.8305,8.222,9.2003,10.1859,11.003,11.4207,12.1426,11.7167,11.5557,11.3912,10.4925,16.84,14.443,14.8231,16.0186,17.2889,18.3664,18.3148,19.2338,15.3749,15.868,16.7695,17.8835,19.8041,19.4211,26.7711,29.6813,28.0981,29.0754,28.4676,27.119,31.1577,30.8997,32.4597,31.5595,32.8352,32.6369,37.5831,37.3959,38.1225,37.7957
방글라데시,2.2119,2.2904,2.5168,2.8932,2.9746,3.1213,3.1763,3.3711,3.8657,3.7493,3.8032,3.6058,3.5059,4.5497,4.6531,4.8567,5.5558,5.7848,5.9844,6.6126,7.5972,7.8861,8.5523,8.1883,9.0772,10.1892,11.4058,11.7997,13.4784,13.3824,14.0816,14.742,15.3799,16.0629,17.538,21.0417,21.4928,23.1259,23.1978,25.075,26.5246,31.0349,31.9812,33.4593,35.9454,37.6766,41.6892,42.6421,45.3009,49.1481,53.9916,56.5563,60.7078,61.799,66.009,73.1576,76.2033,80.7418,82.5557,100.7919,93.615,98.7603,102.1033
바베이도스,0.17221,0.19419,0.26014,0.19053,0.17954,0.20518,0.26747,0.33709,0.43968,0.47998,0.42869,0.48365,0.50197,0.47998,0.49098,0.56792,0.53128,0.5899,0.63021,0.6009,0.67418,0.68517,0.64486,0.68517,0.747,0.84571,0.91541,0.94105,0.94479,0.98869,1.2753,1.4182,1.3618,1.0969,1.1635,1.283,1.339,1.5404,1.5721,1.6534,1.7488,1.6519,1.6576,1.6995,1.7202,1.7625,1.7752,1.8022,2.0815,2.0001,1.8451,1.9415,1.8034,1.8221,1.6901,1.6864,1.6937,1.6446,1.6556,1.6667,1.2335,1.2264,1.2328
벨라루스,40.2535,41.5316,43.6198,46.7958,49.778,52.8117,55.7824,58.3603,60.029,62.5381,65.7981,69.8324,73.4926,76.62,79.5636,83.6375,86.818,89.745,92.8277,93.5622,97.2026,95.3725,97.1437,98.5013,99.34,107.0633,121.5516,112.4905,114.3073,109.1416,108.3451,104.0717,93.483,80.5618,67.8794,60.9056,61.7348,61.5884,60.0734,57.9655,54.906,54.003,53.8441,55.088,58.2535,59.3103,61.7436,60.2181,62.8364,60.5777,62.4451,61.3076,62.5453,64.1256,63.6489,58.7989,58.1345,59.3819,62.1569,62.0963,59.0556,60.9382,58.8011
벨기에,90.9081,92.6983,98.0183,105.6764,103.554,105.3308,105.0967,107.361,118.4376,123.4918,125.4905,121.3705,130.6377,138.6392,134.9501,121.823,129.6776,126.1993,135.4503,139.7865,134.8358,123.5736,117.1019,101.2018,104.9665,104.0045,102.3668,102.5887,99.7428,106.7921,120.2928,123.3626,122.4885,121.4239,124.7967,125.9363,129.4787,123.9906,130.2235,124.6811,126.7215,126.0661,126.863,128.2483,128.7708,125.6279,123.873,120.4633,120.17,107.7651,114.6041,105.0686,102.4045,102.7147,97.0292,101.1456,99.623,99.055,99.9673,99.4703,91.1014,95.6681,89.6054
벨리즈,0.043968,0.03664,0.069616,0.062288,0.084272,0.084272,0.080608,0.12091,0.10259,0.13557,0.12091,0.1429,0.15755,0.14656,0.15389,0.17587,0.17587,0.19786,0.21618,0.20885,0.19053,0.1832,0.17221,0.17221,0.17221,0.19053,0.20518,0.22717,0.24915,0.30045,0.31144,0.4067,0.35541,0.37739,0.37373,0.37739,0.30778,0.38838,0.37006,0.34808,0.39571,0.44701,0.43235,0.43235,0.39205,0.42136,0.44334,0.47632,0.43602,0.51662,0.53861,0.55326,0.45067,0.43968,0.46899,0.6412,0.62654,0.61555,0.60456,0.70715,0.61333,0.70206,0.72523
베냉,0.16122,0.12824,0.13557,0.12091,0.1429,0.15022,0.11358,0.1429,0.15389,0.20152,0.28213,0.29312,0.38838,0.38106,0.4067,0.44334,0.26014,0.29678,0.36274,0.3664,0.47983,0.38729,0.44254,0.40441,0.4483,0.68637,0.624,0.4737,0.50805,0.57016,0.57935,0.61965,0.67095,0.80742,0.91153,0.95627,1.1838,1.224,1.1139,1.4619,1.4729,1.6891,2.1101,2.394,2.5936,2.4897,3.3511,3.931,3.919,4.2245,4.6794,4.4797,4.4025,4.566,4.796,5.3289,6.494,6.8042,7.4345,7.1161,7.7447,8.3125,8.4322
버뮤다,0.15755,0.17587,0.15755,0.15022,0.20152,0.17954,0.20152,0.21251,0.2235,0.19786,0.22717,0.23083,0.25282,0.42502,0.44334,0.458,0.46899,0.45434,0.42502,0.46166,0.43602,0.38838,0.39571,0.45067,0.44334,0.45067,0.42136,0.57158,0.64486,0.78043,0.50197,0.53861,0.46166,0.53861,0.53128,0.53128,0.52762,0.52395,0.52029,0.51296,0.51662,0.52762,0.55693,0.56059,0.58258,0.58258,0.65219,0.72914,0.64853,0.47632,0.60822,0.44334,0.3664,0.53494,0.67051,0.53861,0.61922,0.63387,0.69616,0.59357,0.458,0.44134,0.44541
부탄,,,,,,,,,,,0.003664,0.003664,0.003664,0.003664,0.003664,0.003664,0.003664,0.007328,0.010992,0.021984,0.021984,0.055349,0.062681,0.086749,0.10874,0.11974,0.11242,0.16006,0.16739,0.11977,0.18573,0.18574,0.21506,0.18179,0.21241,0.24897,0.29827,0.39011,0.3822,0.38587,0.39687,0.38423,0.41651,0.37622,0.30791,0.39586,0.39351,0.39352,0.42215,0.38988,0.48777,0.73202,0.83519,0.9182,1.0282,1.0565,1.2614,1.3415,1.4777,1.4586,0.91976,1.0622,1.0555
볼리비아,1.0038,1.0404,1.099,1.2125,1.48,1.5093,1.6888,1.8904,2.1761,2.5462,2.4837,3.0589,3.5681,3.4545,3.5129,4.055,4.5748,4.4749,5.0201,4.7301,4.659,4.781,4.3379,4.2781,4.0293,4.1098,3.7637,4.0118,4.2868,4.9684,10.0069,10.4952,11.0142,11.5503,9.6383,9.0165,10.0161,11.7212,11.2523,10.9395,8.4339,8.7428,10.4034,10.968,11.0319,12.3126,12.3323,12.6954,12.9652,13.5381,14.7188,15.9487,17.5353,17.769,19.8879,19.8865,21.2393,22.1712,22.5016,22.6051,18.3263,21.726,21.4937
